"Date","#1","#2","#3","#4","#5","#6","#7","S1","S2"
"23/07/2013","8","28","31","34","37","40","41","39","42"
"16/07/2013","2","6","9","33","36","42","43","21","35"
"09/07/2013","1","2","7","11","13","17","41","33","40"
"02/07/2013","13","15","20","31","38","42","45","18","35"
"25/06/2013","4","7","10","16","17","20","41","5","36"
"18/06/2013","1","9","20","29","31","35","40","27","44"
"11/06/2013","3","6","24","25","26","29","38","19","30"
"04/06/2013","2","5","17","18","22","26","41","10","40"
"28/05/2013","1","14","25","26","30","31","35","18","27"
"21/05/2013","2","3","19","23","39","41","43","11","33"
"14/05/2013","1","9","12","13","22","26","41","34","39"
"07/05/2013","16","18","24","28","31","35","44","4","20"
"30/04/2013","6","12","26","27","32","39","44","14","41"
"23/04/2013","7","12","19","27","35","39","41","8","21"
"16/04/2013","4","7","16","22","24","37","40","20","43"
"09/04/2013","3","6","8","23","32","36","45","15","21"
"02/04/2013","7","12","17","35","40","42","44","30","36"
"26/03/2013","14","18","19","21","25","43","44","12","20"
"19/03/2013","1","7","11","26","33","37","40","2","27"
"12/03/2013","3","8","10","21","28","38","40","19","42"
"05/03/2013","2","3","5","11","26","27","44","19","45"
"26/02/2013","7","8","10","12","18","23","34","26","35"
"19/02/2013","1","2","18","20","27","35","41","22","28"
"12/02/2013","2","3","5","16","28","42","43","27","39"
"05/02/2013","17","19","27","30","37","42","45","8","18"
"29/01/2013","6","19","22","34","36","38","39","17","40"
"22/01/2013","1","14","24","27","28","30","39","8","17"
"15/01/2013","7","17","21","28","34","36","44","25","31"
"08/01/2013","1","13","15","30","35","39","40","25","33"
"01/01/2013","8","19","25","28","30","39","42","43","44"
"25/12/2012","2","5","15","16","20","28","32","10","24"
"18/12/2012","12","15","19","22","36","41","43","1","38"
"11/12/2012","3","5","12","15","21","25","30","20","32"
"04/12/2012","1","3","7","14","21","24","31","10","34"
"27/11/2012","1","9","13","16","22","33","34","4","5"
"20/11/2012","19","24","26","34","39","43","44","5","31"
"13/11/2012","3","7","8","12","17","37","39","23","32"
"06/11/2012","2","7","8","13","15","29","43","20","21"
"30/10/2012","4","5","8","16","21","26","31","32","41"
"23/10/2012","2","14","16","21","25","27","41","32","43"
"16/10/2012","4","5","8","16","23","44","45","24","36"
"09/10/2012","1","4","12","15","22","33","43","30","45"
"02/10/2012","2","11","13","15","28","33","41","16","17"
"25/09/2012","5","15","29","35","40","44","45","12","36"
"18/09/2012","6","7","11","12","14","16","17","10","39"
"11/09/2012","1","9","10","12","20","26","32","17","19"
"04/09/2012","6","18","20","32","33","34","44","2","23"
"28/08/2012","12","25","26","28","35","39","42","5","18"
"21/08/2012","5","18","32","33","35","36","44","4","39"
"14/08/2012","4","7","14","18","19","28","42","27","40"
"07/08/2012","3","4","15","19","28","38","44","25","42"
"31/07/2012","1","5","8","14","17","19","20","2","18"
"24/07/2012","6","20","29","31","36","40","43","2","17"
"17/07/2012","3","4","16","17","20","32","34","38","41"
"10/07/2012","1","4","9","19","20","37","40","7","24"
"03/07/2012","19","21","24","28","32","34","45","16","18"
"26/06/2012","1","7","11","17","19","25","43","14","21"
"19/06/2012","1","2","4","10","16","31","39","18","21"
"12/06/2012","7","8","10","26","33","42","45","30","37"
"05/06/2012","1","12","30","33","34","37","44","27","38"
"29/05/2012","3","11","29","35","37","43","45","5","24"
"22/05/2012","6","12","14","22","33","38","45","13","19"
"15/05/2012","7","10","14","17","19","38","45","20","25"
"08/05/2012","6","8","17","28","34","41","42","4","19"
"01/05/2012","2","6","25","29","34","36","37","3","8"
"24/04/2012","4","6","11","16","19","27","45","13","43"
"17/04/2012","9","21","24","27","35","38","40","30","39"
"10/04/2012","6","15","22","35","36","42","45","10","23"
"03/04/2012","7","10","19","21","27","36","44","2","8"
"27/03/2012","3","11","15","17","18","24","39","23","34"
"20/03/2012","3","5","15","22","23","34","40","2","26"
"13/03/2012","3","23","26","29","32","33","42","13","36"
"06/03/2012","5","7","15","21","29","32","41","36","37"
"28/02/2012","5","8","12","17","28","30","43","25","31"
"21/02/2012","6","13","14","19","31","41","45","9","28"
"14/02/2012","7","10","23","25","27","31","43","20","34"
"07/02/2012","1","5","20","21","25","33","39","29","41"
"31/01/2012","1","9","12","14","18","32","39","11","25"
"24/01/2012","10","12","13","27","29","40","44","15","18"
"17/01/2012","2","5","7","11","13","31","32","21","27"
"10/01/2012","5","6","7","8","37","39","44","33","40"
"03/01/2012","1","22","31","34","35","39","42","6","43"
"27/12/2011","6","9","12","18","20","35","38","13","41"
"20/12/2011","7","8","9","21","29","36","40","10","32"
"13/12/2011","11","18","21","25","29","42","45","23","40"
"06/12/2011","2","8","12","24","29","30","33","11","17"
"29/11/2011","5","6","9","12","15","33","34","1","4"
"22/11/2011","5","10","11","16","21","25","37","12","39"
"15/11/2011","6","7","8","9","20","22","28","29","39"
"08/11/2011","1","3","6","15","18","21","34","12","28"
